Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,141.1,-89.175,-90.0,top
R1,470,R_0402_1005Metric,155.09,-66.9,180.0,top
R2,1.5k,R_0402_1005Metric,155.1,-67.9,180.0,top
R3,470,R_0402_1005Metric,152.6,-68.9,0.0,top
R4,220R,R_0402_1005Metric,155.1,-68.9,180.0,top
R5,1.5k,R_0402_1005Metric,152.6,-69.9,0.0,top
R6,1k,R_0402_1005Metric,155.1,-69.9,180.0,top
R7,1.5k,R_0402_1005Metric,155.1,-70.9,0.0,top
R8,470,R_0402_1005Metric,155.1,-71.9,0.0,top
R9,470,R_0402_1005Metric,155.1,-73.5,180.0,top
R10,1.5k,R_0402_1005Metric,155.1,-74.5,180.0,top
R11,470,R_0402_1005Metric,152.6,-76.5,0.0,top
R12,220R,R_0402_1005Metric,155.1,-75.5,180.0,top
R13,1.5k,R_0402_1005Metric,152.6,-75.5,0.0,top
R14,1k,R_0402_1005Metric,155.1,-76.5,180.0,top
R15,1.5k,R_0402_1005Metric,155.09,-77.5,0.0,top
R16,470,R_0402_1005Metric,155.11,-78.5,0.0,top
R17,470,R_0402_1005Metric,155.1,-80.1,180.0,top
R18,1.5k,R_0402_1005Metric,155.1,-81.1,180.0,top
R19,470,R_0402_1005Metric,152.6,-82.1,0.0,top
R20,220R,R_0402_1005Metric,155.1,-82.1,180.0,top
R21,1.5k,R_0402_1005Metric,152.6,-83.1,0.0,top
R22,1k,R_0402_1005Metric,155.1,-83.1,180.0,top
R23,1.5k,R_0402_1005Metric,155.09,-84.1,0.0,top
R24,470,R_0402_1005Metric,155.09,-85.1,0.0,top
R25,49.9R,R_0402_1005Metric,152.7,-88.5,0.0,top
R26,49.9R,R_0402_1005Metric,152.7,-87.1,0.0,top
U1,"74LVC245APW,118",TSSOP-20_4.4x6.5mm_P0.65mm,144.0,-84.075,90.0,top
